group,n,n_CD,pct_CD,n_UC,pct_UC,n_female,pct_female,median_consent_age,p_CD_UC_chi2,p_sex_chi2,p_race_chi2,p_site_chi2,p_age_mannwhitney
ever_matched,268,207,77.2,61,22.8,160,59.7,16.0,0.0,0.0074,0.0,0.0,0.0
excluded,911,528,58.0,383,42.0,457,50.2,25.0,0.0,0.0074,0.0,0.0,0.0
