Category,Pre_mean_pct,Pre_std,Post_mean_pct,Post_std,Pct_change
baseline_montreal_location,7.715712633054766,0.8955306627326979,14.941662256384356,0.0769611880375752,93.6524
antibiotics,0.6228356449914898,0.2281971730648385,1.143310677435834,0.0733043256895172,83.5654
sex,0.7226333902856507,0.1086472793177376,1.3088136522663958,0.0341654057874658,81.1172
bowel_frequency_during_the_day,6.311196150742805,2.665573324408711,11.161958569593171,2.3742134595438804,76.8596
abdominal_pain,2.2647653659483846,0.6288999393644737,3.0325637249598505,0.0251669055744419,33.9019
general_wellbeing,2.7237800698433103,0.7099843413570472,3.2438818615845535,0.0284014635342141,19.0949
diagnosis,2.5327032992369554,0.3044527622459374,2.5477641017036707,0.0512365117337343,0.5947
age_at_diagnosis,29.034053616798584,1.7564661895808302,28.232786768709666,0.0874005727952041,-2.7597
consent_age,26.111043040660704,1.040099457325332,24.729803888130466,0.095600485939886,-5.2899
education_level,5.4769757576498,0.3978750755478211,4.686177570247436,0.0542118164840981,-14.4386
site_name,3.845790312401734,0.3406542792760754,2.93074927178328,0.0317747420727333,-23.7933
probiotic,1.3345596268986932,0.3570218749662898,0.8899615265626294,0.0757618852050229,-33.3142
blood_in_the_stool,6.785842107808704,1.72675973769001,4.353276691781116,0.0907338314573688,-35.8477
