r_squared,p_value
1.8412517333961875,0.001
1.8558321295671303,0.001
1.955261766065031,0.001
2.140162349002757,0.001
2.262693168708304,0.001
1.7216203362051354,0.001
2.39654813186296,0.001
2.25472329231335,0.001
1.7194421006540153,0.001
2.7740398128561203,0.001
1.8819573389416138,0.001
2.1816995781905884,0.001
2.5719749032981163,0.001
1.5144135959140288,0.001
1.9607884385207603,0.001
1.9174932131012723,0.001
2.240270985729491,0.001
1.8819848145115738,0.001
2.1179180254033363,0.001
1.8724817664793134,0.001
1.302473005780597,0.001
2.551868218130283,0.001
2.0510652427700675,0.001
2.0258103847243065,0.001
2.1161299207226003,0.001
1.7231751714630692,0.001
2.057667605014083,0.001
1.8323004752876695,0.001
2.3649456372041815,0.001
1.7661113663101473,0.001
1.9984810549294667,0.001
1.947196542103312,0.001
2.0041019879834607,0.001
2.2004268987338333,0.001
2.377887898056563,0.001
1.9800386967413632,0.001
2.310988933483358,0.001
1.9151737199160201,0.001
2.059666156759855,0.001
2.1100339746549155,0.001
2.361565855415309,0.001
2.0418606179966328,0.001
1.839715273217457,0.001
2.1842065773869797,0.001
1.923516551898214,0.001
2.0517921952786544,0.001
2.2505481452134886,0.001
1.4245892972288194,0.001
2.0419272691918975,0.001
1.9648460058273185,0.001
2.219411845698441,0.001
1.8806881366454975,0.001
2.420244244002933,0.001
2.0373581238869627,0.001
2.1579749682997766,0.001
2.3767565834299367,0.001
2.106721821091423,0.001
2.1908199830861634,0.001
2.345535255630174,0.001
2.067109973603874,0.001
2.295315309656992,0.001
1.7134655342046914,0.001
1.8715126706492133,0.001
1.7897812293838455,0.001
2.168441832714441,0.001
1.897249522531249,0.001
1.9492902753886505,0.001
1.8181441070878477,0.001
2.2850414011375575,0.001
2.293597220181296,0.001
2.3255477911974167,0.001
1.959048174048414,0.001
2.7470574278916393,0.001
2.1960503455027998,0.001
1.8452689667414213,0.001
1.9316620618837044,0.001
2.1659515771662776,0.001
2.2707591287550732,0.001
1.8767837809735872,0.001
2.684318061832599,0.001
2.0644563553208073,0.001
1.4756800364385374,0.001
2.017943488257027,0.001
2.2388780078006003,0.001
1.7637992351857934,0.001
2.5946026830122157,0.001
2.528846867990327,0.001
1.8272057574950509,0.001
2.357432193653301,0.001
1.9076395919196065,0.001
2.042367955462901,0.001
1.976981968314528,0.001
2.058369961624503,0.001
2.265180187049659,0.001
2.165740848759252,0.001
1.6055504395539648,0.001
1.7225993641992707,0.001
2.1191215543610906,0.001
1.8251169306657207,0.001
2.138301394490886,0.001
